contrast,x,y,pairs,mu_x,mu_y,diff,se,t,p
H2 move vs both,neutral|full|move,neutral|full|both,100,-0.05499999999999999,0.44499999999999995,-0.5,0.027524094128159017,-18.16590212458495,2.7291214866187014e-33
H2 salary vs both,neutral|full|salary,neutral|full|both,100,0.13,0.44499999999999995,-0.315,0.027205725778804635,-11.578445014152475,4.113791012120686e-20
H2 title vs both,neutral|full|title,neutral|full|both,100,0.31999999999999995,0.44499999999999995,-0.125,0.02175970699446223,-5.744562646538029,1.0174517823555107e-07
H2 salary: redacted vs shown,neutral|no_salary|salary,neutral|full|salary,100,-0.06,0.13,-0.19,0.0282306517276824,-6.730273244584357,1.1128683170707405e-09
H3 redact salary vs full,neutral|no_salary|salary,neutral|full|salary,100,-0.06,0.13,-0.19,0.0282306517276824,-6.730273244584357,1.1128683170707405e-09
H3 redact titles vs full,neutral|no_titles|salary,neutral|full|salary,100,0.06999999999999995,0.13,-0.06,0.021649177090293032,-2.7714679292314788,0.006666866179048002
H3 blind vs full,neutral|blind|salary,neutral|full|salary,100,-0.08000000000000002,0.13,-0.21,0.027688746209726924,-7.584308744403457,1.844074102715226e-11
H3 instruct vs full,ignore_comp|full|salary,neutral|full|salary,100,0.020000000000000018,0.13,-0.11,0.024183640851792455,-4.5485293415547465,1.5339544763145127e-05
H3 ban framing vs full,ban_framing|full|salary,neutral|full|salary,100,0.125,0.13,-0.005,0.01665908918654476,-0.30013645668206207,0.7647023855982888
H3 REDACTION vs INSTRUCTION,neutral|no_salary|salary,ignore_comp|full|salary,100,-0.06,0.020000000000000018,-0.08,0.01974586006987262,-4.051482169776973,0.00010131285617569903
H3 TITLE-REDACTION vs INSTRUCTION,neutral|no_titles|salary,ignore_comp|full|salary,100,0.06999999999999995,0.020000000000000018,0.05,0.01946247360403807,2.5690465157330262,0.011689931701878138
H3 BLIND vs INSTRUCTION,neutral|blind|salary,ignore_comp|full|salary,100,-0.08000000000000002,0.020000000000000018,-0.1,0.023570226039551587,-4.242640687119285,4.978704579061768e-05
