cell,prompt,view,treatment,pairs,trials,mu,se,ci_lo,ci_hi,t,p,pick_winner_rate,mu_nontie,pairs_nontie,logprob_p_winner,consistent_rate,tie_rate,pick_first_rate,parse_fail_rate,skipped,cached_share
ban_framing|full|salary,ban_framing,full,salary,100,200,0.125,0.025,0.07539457621033957,0.17460542378966043,5.0,2.4813960130409484e-06,0.625,0.125,100,0.6441977230245377,0.31,0.0,0.845,0.0,0,1.0
ban_framing|no_salary|salary,ban_framing,no_salary,salary,38,200,-0.039473684210526314,0.029102133801656847,-0.0984402083775081,0.01949283995645547,-1.3563845345346806,0.18319640413269292,0.4605263157894737,-0.039473684210526314,38,0.4352197976291077,0.13157894736842105,0.0,0.935064935064935,0.0,123,0.385
ignore_comp|blind|salary,ignore_comp,blind,salary,100,200,-0.075,0.02175970699446223,-0.11817597947996548,-0.03182402052003451,-3.446737587922817,0.0008341994770978722,0.425,-0.075,100,0.4285148375172744,0.21,0.0,0.885,0.0,0,1.0
ignore_comp|full|salary,ignore_comp,full,salary,100,200,0.02,0.023484359721209165,-0.02659806465597649,0.0665980646559765,0.8516306272526403,0.3964744954436283,0.52,0.02,100,0.5303811771860248,0.22,0.0,0.85,0.0,0,1.0
ignore_comp|no_salary|salary,ignore_comp,no_salary,salary,100,200,-0.05,0.023028309323591917,-0.09569316172624662,-0.004306838273753381,-2.1712405933672376,0.03230249375027432,0.45,-0.05,100,0.4441231028131989,0.22,0.0,0.88,0.0,0,1.0
ignore_comp|no_titles|salary,ignore_comp,no_titles,salary,100,200,-0.015,0.024052761869177385,-0.06272589783329316,0.03272589783329317,-0.6236290069965676,0.5343054983628085,0.485,-0.015,100,0.4931264528557098,0.23,0.0,0.875,0.0,0,1.0
neutral|blind|salary,neutral,blind,salary,100,200,-0.08,0.02215646837627989,-0.12396324013950294,-0.036036759860497064,-3.6106837353937604,0.00048144475413207084,0.42,-0.08,100,0.4265046197173094,0.22,0.0,0.89,0.0,0,1.0
neutral|full|base,neutral,full,base,100,200,-0.005,0.03137827209385437,-0.06726129940011685,0.05726129940011686,-0.15934593163844996,0.8737209706486483,0.495,-0.005,100,0.49802876045155675,0.39,0.0,0.765,0.0,0,1.0
neutral|full|both,neutral,full,both,100,200,0.445,0.015723301886761007,0.4138015578613781,0.4761984421386219,28.30194339616981,2.997359373651471e-49,0.945,0.445,100,0.9368911902547391,0.89,0.0,0.555,0.0,0,1.0
neutral|full|move,neutral,full,move,100,200,-0.055,0.02345746203775092,-0.10154469381650023,-0.008455306183499767,-2.3446696795879522,0.021040527419118576,0.445,-0.055,100,0.42819721371064184,0.23,0.0,0.885,0.0,0,1.0
neutral|full|salary,neutral,full,salary,100,200,0.13,0.025246261849504327,0.07990593927402406,0.18009406072597595,5.149277179130278,1.3314226216222438e-06,0.63,0.13,100,0.6115235989763618,0.32,0.0,0.82,0.0,0,1.0
neutral|full|title,neutral,full,title,100,200,0.32,0.024120907566221088,0.27213888631945504,0.36786111368054497,13.266499161421601,1.0827368512085116e-23,0.82,0.32,100,0.8343085446321955,0.64,0.0,0.68,0.0,0,1.0
neutral|no_salary|salary,neutral,no_salary,salary,100,200,-0.06,0.023868325657594204,-0.10735993637578344,-0.01264006362421656,-2.5137917447891764,0.013556758919315065,0.44,-0.06,100,0.42877581336762544,0.24,0.0,0.87,0.0,0,1.0
neutral|no_titles|salary,neutral,no_titles,salary,100,200,0.07,0.020125866566448887,0.030065914393485806,0.10993408560651421,3.4781111048750817,0.0007518897856637358,0.57,0.07,100,0.57264494939234,0.18,0.0,0.89,0.0,0,1.0
tie_allowed|full|base,tie_allowed,full,base,100,200,0.0175,0.028036547216053188,-0.038130592250045704,0.0731305922500457,0.6241852773504092,0.5339416535921179,0.5175,0.021505376344086023,93,0.5049755744318909,0.3225806451612903,0.045,0.8010471204188482,0.0,0,1.0
