state_id,pair_id,who,year,treatment,role,status,problems,chars
p1_A_2021_base,1,A,2021,base,base,ok,,1930
p1_A_2022_salary,1,A,2022,salary,winner,ok,,2194
p1_A_2022_title,1,A,2022,title,winner,ok,,2080
p1_A_2022_move,1,A,2022,move,winner,ok,,2324
p1_B_2021_base,1,B,2021,base,base,ok,,1841
p1_A_2022_both,1,A,2022,both,winner,ok,,2087
p2_A_2021_base,2,A,2021,base,base,ok,,1927
p1_B_2022_loser,1,B,2022,loser,loser,ok,,1917
p2_A_2022_loser,2,A,2022,loser,loser,ok,,2064
p2_B_2021_base,2,B,2021,base,base,ok,,1855
p2_B_2022_move,2,B,2022,move,winner,ok,,2014
p2_B_2022_salary,2,B,2022,salary,winner,ok,,2119
p2_B_2022_title,2,B,2022,title,winner,ok,,2246
p2_B_2022_both,2,B,2022,both,winner,ok,,2234
p3_A_2021_base,3,A,2021,base,base,ok,,2366
p3_A_2022_move,3,A,2022,move,winner,ok,,2486
p3_A_2022_salary,3,A,2022,salary,winner,ok,,2617
p3_A_2022_title,3,A,2022,title,winner,ok,,2546
p3_B_2021_base,3,B,2021,base,base,ok,,2134
p3_A_2022_both,3,A,2022,both,winner,ok,,2514
p3_B_2022_loser,3,B,2022,loser,loser,ok,,2250
p4_A_2021_base,4,A,2021,base,base,ok,,1873
p4_A_2022_loser,4,A,2022,loser,loser,ok,,1794
p4_B_2021_base,4,B,2021,base,base,ok,,1984
p4_B_2022_move,4,B,2022,move,winner,ok,,2494
p4_B_2022_salary,4,B,2022,salary,winner,ok,,2268
p4_B_2022_title,4,B,2022,title,winner,ok,,2206
p4_B_2022_both,4,B,2022,both,winner,ok,,2238
p5_A_2021_base,5,A,2021,base,base,ok,,2521
p5_A_2022_move,5,A,2022,move,winner,ok,,2840
p5_A_2022_salary,5,A,2022,salary,winner,ok,,2643
p5_A_2022_title,5,A,2022,title,winner,ok,,2903
p5_A_2022_both,5,A,2022,both,winner,ok,,2818
p5_B_2021_base,5,B,2021,base,base,ok,,2454
p6_A_2021_base,6,A,2021,base,base,ok,,1633
p5_B_2022_loser,5,B,2022,loser,loser,ok,,2570
p6_B_2021_base,6,B,2021,base,base,ok,,1653
p6_A_2022_loser,6,A,2022,loser,loser,ok,,1630
p6_B_2022_move,6,B,2022,move,winner,ok,,1780
p7_A_2021_base,7,A,2021,base,base,ok,,1263
p6_B_2022_title,6,B,2022,title,winner,ok,,1901
p6_B_2022_salary,6,B,2022,salary,winner,ok,,1964
p6_B_2022_both,6,B,2022,both,winner,ok,,1901
p7_A_2022_move,7,A,2022,move,winner,ok,,1747
p7_A_2022_salary,7,A,2022,salary,winner,ok,,1651
p7_A_2022_title,7,A,2022,title,winner,ok,,1577
p7_A_2022_both,7,A,2022,both,winner,ok,,1688
p7_B_2021_base,7,B,2021,base,base,ok,,1516
p7_B_2022_loser,7,B,2022,loser,loser,ok,,1495
p8_A_2021_base,8,A,2021,base,base,ok,,1704
p8_A_2022_loser,8,A,2022,loser,loser,ok,,1651
p8_B_2021_base,8,B,2021,base,base,ok,,1604
p8_B_2022_move,8,B,2022,move,winner,ok,,1812
p8_B_2022_salary,8,B,2022,salary,winner,ok,,1928
p10_A_2021_base,10,A,2021,base,base,ok,,1156
p8_B_2022_title,8,B,2022,title,winner,ok,,1883
p8_B_2022_both,8,B,2022,both,winner,ok,,1838
p10_A_2022_move,10,A,2022,move,winner,ok,,1319
p10_A_2022_salary,10,A,2022,salary,winner,ok,,1326
p10_B_2021_base,10,B,2021,base,base,ok,,1199
p10_A_2022_both,10,A,2022,both,winner,ok,,1281
p10_A_2022_title,10,A,2022,title,winner,ok,,1369
p11_A_2021_base,11,A,2021,base,base,ok,,1635
p10_B_2022_loser,10,B,2022,loser,loser,ok,,1281
p11_B_2021_base,11,B,2021,base,base,ok,,1686
p11_A_2022_loser,11,A,2022,loser,loser,ok,,1712
p11_B_2022_salary,11,B,2022,salary,winner,ok,,1882
p11_B_2022_move,11,B,2022,move,winner,ok,,2078
p11_B_2022_both,11,B,2022,both,winner,ok,,2027
p12_A_2021_base,12,A,2021,base,base,ok,,1392
p11_B_2022_title,11,B,2022,title,winner,ok,,2042
p12_A_2022_move,12,A,2022,move,winner,ok,,1634
p12_A_2022_title,12,A,2022,title,winner,ok,,1600
p12_A_2022_salary,12,A,2022,salary,winner,ok,,1573
p12_A_2022_both,12,A,2022,both,winner,ok,,1641
p12_B_2021_base,12,B,2021,base,base,ok,,1380
p12_B_2022_loser,12,B,2022,loser,loser,ok,,1291
p13_A_2021_base,13,A,2021,base,base,ok,,1505
p13_A_2022_loser,13,A,2022,loser,loser,ok,,1656
p13_B_2021_base,13,B,2021,base,base,ok,,1544
p13_B_2022_move,13,B,2022,move,winner,ok,,1615
p13_B_2022_salary,13,B,2022,salary,winner,ok,,1710
p13_B_2022_title,13,B,2022,title,winner,ok,,1643
p13_B_2022_both,13,B,2022,both,winner,ok,,1662
p14_A_2021_base,14,A,2021,base,base,ok,,1707
p14_A_2022_move,14,A,2022,move,winner,ok,,1747
p14_A_2022_salary,14,A,2022,salary,winner,ok,,1859
p14_A_2022_title,14,A,2022,title,winner,ok,,1912
p15_A_2021_base,15,A,2021,base,base,ok,,1428
p14_A_2022_both,14,A,2022,both,winner,ok,,1898
p14_B_2021_base,14,B,2021,base,base,ok,,1603
p14_B_2022_loser,14,B,2022,loser,loser,ok,,1775
p15_B_2021_base,15,B,2021,base,base,ok,,1491
p15_A_2022_loser,15,A,2022,loser,loser,ok,,1355
p15_B_2022_move,15,B,2022,move,winner,ok,,1672
p15_B_2022_salary,15,B,2022,salary,winner,ok,,1621
p15_B_2022_both,15,B,2022,both,winner,ok,,1658
p15_B_2022_title,15,B,2022,title,winner,ok,,1587
p16_A_2021_base,16,A,2021,base,base,ok,,2435
p16_A_2022_move,16,A,2022,move,winner,ok,,2716
p16_A_2022_salary,16,A,2022,salary,winner,ok,,2825
p16_A_2022_title,16,A,2022,title,winner,ok,,2821
p16_A_2022_both,16,A,2022,both,winner,ok,,2785
p16_B_2021_base,16,B,2021,base,base,ok,,2678
p17_A_2021_base,17,A,2021,base,base,ok,,1982
p16_B_2022_loser,16,B,2022,loser,loser,ok,,2570
p17_A_2022_loser,17,A,2022,loser,loser,ok,,1776
p17_B_2021_base,17,B,2021,base,base,ok,,2060
p17_B_2022_move,17,B,2022,move,winner,ok,,2105
p17_B_2022_title,17,B,2022,title,winner,ok,,2165
p18_A_2021_base,18,A,2021,base,base,ok,,1183
p17_B_2022_salary,17,B,2022,salary,winner,ok,,2460
p18_A_2022_move,18,A,2022,move,winner,ok,,1278
p18_A_2022_salary,18,A,2022,salary,winner,ok,,1309
p18_A_2022_title,18,A,2022,title,winner,ok,,1375
p18_B_2021_base,18,B,2021,base,base,ok,,1337
p18_B_2022_loser,18,B,2022,loser,loser,ok,,1251
p18_A_2022_both,18,A,2022,both,winner,ok,,1427
p19_A_2021_base,19,A,2021,base,base,ok,,1906
p19_B_2021_base,19,B,2021,base,base,ok,,1989
p17_B_2022_both,17,B,2022,both,winner,ok,,2323
p19_A_2022_loser,19,A,2022,loser,loser,ok,,1912
p19_B_2022_move,19,B,2022,move,winner,ok,,2220
p19_B_2022_salary,19,B,2022,salary,winner,ok,,2158
p19_B_2022_title,19,B,2022,title,winner,ok,,2167
p19_B_2022_both,19,B,2022,both,winner,ok,,2118
p20_A_2022_move,20,A,2022,move,winner,ok,,1523
p20_A_2021_base,20,A,2021,base,base,ok,,1408
p20_B_2021_base,20,B,2021,base,base,ok,,1444
p20_A_2022_salary,20,A,2022,salary,winner,ok,,1568
p20_A_2022_title,20,A,2022,title,winner,ok,,1701
p20_A_2022_both,20,A,2022,both,winner,ok,,1649
p21_A_2021_base,21,A,2021,base,base,ok,,2456
p21_B_2021_base,21,B,2021,base,base,ok,,2457
p20_B_2022_loser,20,B,2022,loser,loser,ok,,1337
p21_A_2022_loser,21,A,2022,loser,loser,ok,,2417
p21_B_2022_title,21,B,2022,title,winner,ok,,2803
p21_B_2022_both,21,B,2022,both,winner,ok,,3085
p21_B_2022_salary,21,B,2022,salary,winner,ok,,2568
p21_B_2022_move,21,B,2022,move,winner,ok,,2803
p22_A_2021_base,22,A,2021,base,base,ok,,1933
p22_A_2022_move,22,A,2022,move,winner,ok,,2342
p22_A_2022_title,22,A,2022,title,winner,ok,,2310
p22_B_2021_base,22,B,2021,base,base,ok,,1825
p22_B_2022_loser,22,B,2022,loser,loser,ok,,1929
p22_A_2022_salary,22,A,2022,salary,winner,ok,,2159
p23_A_2021_base,23,A,2021,base,base,ok,,1203
p22_A_2022_both,22,A,2022,both,winner,ok,,2417
p23_B_2021_base,23,B,2021,base,base,ok,,1135
p23_A_2022_loser,23,A,2022,loser,loser,ok,,1269
p23_B_2022_title,23,B,2022,title,winner,ok,,1306
p23_B_2022_move,23,B,2022,move,winner,ok,,1293
p23_B_2022_both,23,B,2022,both,winner,ok,,1362
p23_B_2022_salary,23,B,2022,salary,winner,ok,,1571
p24_A_2021_base,24,A,2021,base,base,ok,,1844
p24_A_2022_move,24,A,2022,move,winner,ok,,2050
p24_A_2022_title,24,A,2022,title,winner,ok,,2043
p24_A_2022_salary,24,A,2022,salary,winner,ok,,2188
p24_A_2022_both,24,A,2022,both,winner,ok,,1952
p25_A_2021_base,25,A,2021,base,base,ok,,1659
p24_B_2022_loser,24,B,2022,loser,loser,ok,,1703
p25_A_2022_loser,25,A,2022,loser,loser,ok,,1761
p25_B_2022_salary,25,B,2022,salary,winner,ok,,1884
p25_B_2022_move,25,B,2022,move,winner,ok,,1962
p25_B_2021_base,25,B,2021,base,base,ok,,1571
p24_B_2021_base,24,B,2021,base,base,ok,,1875
p25_B_2022_both,25,B,2022,both,winner,ok,,1964
p26_A_2021_base,26,A,2021,base,base,ok,,1492
p26_A_2022_salary,26,A,2022,salary,winner,ok,,1602
p26_A_2022_move,26,A,2022,move,winner,ok,,1716
p26_B_2021_base,26,B,2021,base,base,ok,,1720
p26_A_2022_both,26,A,2022,both,winner,ok,,1588
p26_A_2022_title,26,A,2022,title,winner,ok,,1726
p26_B_2022_loser,26,B,2022,loser,loser,ok,,1541
p25_B_2022_title,25,B,2022,title,winner,ok,,2000
p27_A_2021_base,27,A,2021,base,base,ok,,1726
p27_B_2021_base,27,B,2021,base,base,ok,,1629
p27_B_2022_move,27,B,2022,move,winner,ok,,1907
p27_A_2022_loser,27,A,2022,loser,loser,ok,,1550
p27_B_2022_salary,27,B,2022,salary,winner,ok,,1910
p28_A_2021_base,28,A,2021,base,base,ok,,1621
p27_B_2022_title,27,B,2022,title,winner,ok,,1818
p28_A_2022_move,28,A,2022,move,winner,ok,,2017
p27_B_2022_both,27,B,2022,both,winner,ok,,1946
p28_A_2022_both,28,A,2022,both,winner,ok,,1933
p28_A_2022_title,28,A,2022,title,winner,ok,,2074
p28_A_2022_salary,28,A,2022,salary,winner,ok,,1917
p28_B_2021_base,28,B,2021,base,base,ok,,1624
p29_A_2021_base,29,A,2021,base,base,ok,,2209
p29_A_2022_loser,29,A,2022,loser,loser,ok,,2278
p28_B_2022_loser,28,B,2022,loser,loser,ok,,1624
p29_B_2021_base,29,B,2021,base,base,ok,,2229
p29_B_2022_move,29,B,2022,move,winner,ok,,2491
p29_B_2022_title,29,B,2022,title,winner,ok,,2457
p29_B_2022_salary,29,B,2022,salary,winner,ok,,2317
p30_A_2021_base,30,A,2021,base,base,ok,,1417
p29_B_2022_both,29,B,2022,both,winner,ok,,2371
p30_A_2022_move,30,A,2022,move,winner,ok,,1592
p30_A_2022_salary,30,A,2022,salary,winner,ok,,1559
p30_A_2022_title,30,A,2022,title,winner,ok,,1590
p30_B_2021_base,30,B,2021,base,base,ok,,1365
p30_A_2022_both,30,A,2022,both,winner,ok,,1493
p31_A_2021_base,31,A,2021,base,base,ok,,1972
p30_B_2022_loser,30,B,2022,loser,loser,ok,,1347
p31_B_2021_base,31,B,2021,base,base,ok,,1962
p31_B_2022_move,31,B,2022,move,winner,ok,,2146
p31_B_2022_salary,31,B,2022,salary,winner,ok,,2217
p31_B_2022_title,31,B,2022,title,winner,ok,,2342
p31_B_2022_both,31,B,2022,both,winner,ok,,2175
p32_A_2021_base,32,A,2021,base,base,ok,,1658
p31_A_2022_loser,31,A,2022,loser,loser,ok,,1946
p32_A_2022_salary,32,A,2022,salary,winner,ok,,2003
p32_A_2022_move,32,A,2022,move,winner,ok,,1993
p32_A_2022_title,32,A,2022,title,winner,ok,,1853
p32_B_2021_base,32,B,2021,base,base,ok,,1594
